Year,Quarter,Python,R,Julia
2019, 1, 17.891, 0.171, 0.100
2018, 4, 17.739, 0.167, 0.093
2018, 3, 17.503, 0.191, 0.115
2018, 2, 16.256, 0.220, 0.084
2018, 1, 16.127, 0.229, 0.112
2017, 4, 15.823, 0.163, 0.207
2017, 3, 15.861, 0.165, 0.239
2017, 2, 15.536, 0.204, 0.252
2017, 1, 15.279, 0.171, 0.266
2016, 4, 14.469, 0.168, 0.187
2016, 3, 14.917, 0.172, 0.304
2016, 2, 14.689, 0.208, 0.219
2016, 1, 14.087, 0.205, 0.174
2015, 4, 14.689, 0.177, 0.246
2015, 3, 15.849, 0.218, 0.344
2015, 2, 15.813, 0.175, 0.204
2015, 1, 15.815, 0.196, 0.180
2014, 4, 15.674, 0.126, 0.173
2014, 3, 15.980, 0.098, 0.213
2014, 2, 16.694, 0.144, 0.157
2014, 1, 16.468, 0.090, 0.178
